title,price,address,bedrooms,bathrooms,property_type,listing_url,date_scraped
4 bedroom Flat,1250000,"Flat 10H Hyde Park Mansions, Cabbell Street, Marylebone, London, NW1 5BG",4,,Flat,https://www.rightmove.co.uk/properties/172753559,2026-03-05T14:27:17.327973+00:00
5 bedroom Apartment,60000000,"One Hyde Park, Knightsbridge, London, SW1X",5,5,Apartment,https://www.rightmove.co.uk/properties/148711631,2026-03-05T14:27:17.327986+00:00
6 bedroom House,55000000,"Thurloe Place, Knightsbridge, London, SW7, United Kingdom",6,7,House,https://www.rightmove.co.uk/properties/168925889,2026-03-05T14:27:17.327991+00:00
10 bedroom House,49950000,"Avenue Road, St John's Wood, London, NW8, United Kingdom",10,8,House,https://www.rightmove.co.uk/properties/155320229,2026-03-05T14:27:17.327995+00:00
7 bedroom End of Terrace,49500000,"Balfour Place, Mayfair, London, W1K",7,8,End of Terrace,https://www.rightmove.co.uk/properties/171185315,2026-03-05T14:27:17.327998+00:00
6 bedroom House,47000000,"Whistler Square, Chelsea Barracks, London, SW1W, United Kingdom",6,6,House,https://www.rightmove.co.uk/properties/152205953,2026-03-05T14:27:17.328001+00:00
7 bedroom Town House,47000000,"Whistler Square, London, SW1W",7,8,Town House,https://www.rightmove.co.uk/properties/152236991,2026-03-05T14:27:17.328004+00:00
5 bedroom Apartment,46000000,"One Hyde Park, Knightsbridge, London, SW1X",5,5,Apartment,https://www.rightmove.co.uk/properties/158528285,2026-03-05T14:27:17.328007+00:00
7 bedroom House,44000000,"Wilton Crescent, Belgravia, London, SW1X, United Kingdom",7,7,House,https://www.rightmove.co.uk/properties/157525997,2026-03-05T14:27:17.328009+00:00
6 bedroom Town House,42500000,"Upper Brook Street, London, W1K",6,7,Town House,https://www.rightmove.co.uk/properties/171790859,2026-03-05T14:27:17.328012+00:00
6 bedroom Terraced,42500000,"Upper Brook Street, London, W1K",6,7,Terraced,https://www.rightmove.co.uk/properties/171587372,2026-03-05T14:27:17.328015+00:00
5 bedroom Apartment,42000000,"Bayswater Road, London, W2",5,4,Apartment,https://www.rightmove.co.uk/properties/162929390,2026-03-05T14:27:17.328017+00:00
4 bedroom Flat,39500000,"Ashburton Place, Mayfair",4,4,Flat,https://www.rightmove.co.uk/properties/168530276,2026-03-05T14:27:17.328019+00:00
4 bedroom Flat,39500000,"1 Ashburton Place, Mayfair, London, W1J",4,5,Flat,https://www.rightmove.co.uk/properties/168516473,2026-03-05T14:27:17.328022+00:00
6 bedroom Town House,37950000,"Eaton Place, Belgravia, SW1X",6,9,Town House,https://www.rightmove.co.uk/properties/171004574,2026-03-05T14:27:17.328025+00:00
5 bedroom Apartment,36000000,"Grosvenor Square, London, W1K",5,5,Apartment,https://www.rightmove.co.uk/properties/170208926,2026-03-05T14:27:17.328027+00:00
0 bedroom Terraced,35000000,"South Audley Street, London, W1K",0,0,Terraced,https://www.rightmove.co.uk/properties/169342700,2026-03-05T14:27:17.328030+00:00
4 bedroom Apartment,35000000,"One Hyde Park, London SW1X",4,5,Apartment,https://www.rightmove.co.uk/properties/87604734,2026-03-05T14:27:17.328033+00:00
7 bedroom Detached,34995000,"Belgrave Square, London, SW1X",7,9,Detached,https://www.rightmove.co.uk/properties/87665097,2026-03-05T14:27:17.328035+00:00
4 bedroom Penthouse,32500000,"Holland Park Gate, Penthouse, 257 Kensington High St, London, W8",4,5,Penthouse,https://www.rightmove.co.uk/properties/169069013,2026-03-05T14:27:17.328038+00:00
4 bedroom Penthouse,32500000,"Holland Park Gate, 261 Kensington High Street, London, W8 6NA",4,5,Penthouse,https://www.rightmove.co.uk/properties/165076217,2026-03-05T14:27:17.328041+00:00
40 bedroom Block of Apartments,32000000,Covent Garden and Soho Residential Portfolio,40,38,Block of Apartments,https://www.rightmove.co.uk/properties/168321101,2026-03-05T14:27:17.328044+00:00
10 bedroom Detached,30000000,"Avenue Road, London, NW8",10,10,Detached,https://www.rightmove.co.uk/properties/172006166,2026-03-05T14:27:17.328047+00:00
4 bedroom Apartment,30000000,"One Hyde Park, Knightsbridge, United Kingdom",4,3,Apartment,https://www.rightmove.co.uk/properties/160407086,2026-03-05T14:27:17.328049+00:00
7 bedroom House,30000000,"Tregunter Road, Chelsea, London, SW10, United Kingdom",7,7,House,https://www.rightmove.co.uk/properties/152997359,2026-03-05T14:27:17.328052+00:00
2 bedroom Apartment,550000,"Mount Avenue, W5",2,1,Apartment,https://www.rightmove.co.uk/properties/87526413,2026-03-05T14:27:17.379402+00:00
7 bedroom Semi-Detached,30000000,"Tregunter Road, Chelsea, London",7,7,Semi-Detached,https://www.rightmove.co.uk/properties/172554509,2026-03-05T14:27:17.379423+00:00
0 bedroom Plot,29950000,"Piccadilly, Mayfair, London, W1J",0,0,Plot,https://www.rightmove.co.uk/properties/168396311,2026-03-05T14:27:17.379427+00:00
6 bedroom House,29950000,"Piccadilly, Mayfair",6,6,House,https://www.rightmove.co.uk/properties/141659681,2026-03-05T14:27:17.379432+00:00
4 bedroom Flat,28500000,"One Hyde Park, Knightsbridge, London, SW1X, United Kingdom",4,4,Flat,https://www.rightmove.co.uk/properties/156795014,2026-03-05T14:27:17.379436+00:00
6 bedroom Flat,28000000,"Mulberry Square, Belgravia, London",6,6,Flat,https://www.rightmove.co.uk/properties/171660851,2026-03-05T14:27:17.379439+00:00
6 bedroom Apartment,28000000,"Mulberry Square, London, SW1W",6,6,Apartment,https://www.rightmove.co.uk/properties/171656438,2026-03-05T14:27:17.379442+00:00
10 bedroom House,27500000,"Holland Park, London, W11",10,7,House,https://www.rightmove.co.uk/properties/161075213,2026-03-05T14:27:17.379445+00:00
4 bedroom Apartment,27000000,"Princes Gate, Knightsbridge, SW7",4,5,Apartment,https://www.rightmove.co.uk/properties/170232161,2026-03-05T14:27:17.379448+00:00
4 bedroom Flat,27000000,"Princes Gate, Knightsbridge, London, SW7",4,5,Flat,https://www.rightmove.co.uk/properties/170440250,2026-03-05T14:27:17.379451+00:00
4 bedroom Apartment,25500000,"60 Curzon, 60 Curzon Street, Maayfair, London, W1J",4,4,Apartment,https://www.rightmove.co.uk/properties/171656723,2026-03-05T14:27:17.379454+00:00
6 bedroom House,25000000,"Chester Square, London, SW1W",6,7,House,https://www.rightmove.co.uk/properties/160716725,2026-03-05T14:27:17.379457+00:00
6 bedroom Town House,25000000,"Chester Square, Belgravia, London, SW1W, United Kingdom",6,7,Town House,https://www.rightmove.co.uk/properties/152041028,2026-03-05T14:27:17.379461+00:00
10 bedroom Town House,25000000,"Lowndes Square, Belgravia, SW1X",10,10,Town House,https://www.rightmove.co.uk/properties/141476324,2026-03-05T14:27:17.379464+00:00
10 bedroom Terraced,25000000,"Lowndes Square, London, SW1X",10,9,Terraced,https://www.rightmove.co.uk/properties/133822685,2026-03-05T14:27:17.379466+00:00
3 bedroom Penthouse,25000000,"Marylebone High Street, London, W1U",3,3,Penthouse,https://www.rightmove.co.uk/properties/170112602,2026-03-05T14:27:17.379470+00:00
8 bedroom Block of Apartments,25000000,"Knights House, Cheval Place, Knightsbridge, SW7, United Kingdom",8,9,Block of Apartments,https://www.rightmove.co.uk/properties/157014905,2026-03-05T14:27:17.379476+00:00
6 bedroom Terraced,25000000,"Cornwall Terrace, Regent's Park",6,6,Terraced,https://www.rightmove.co.uk/properties/47838357,2026-03-05T14:27:17.379479+00:00
8 bedroom Detached,24950000,"St. John's Wood, London, NW8",8,10,Detached,https://www.rightmove.co.uk/properties/135107819,2026-03-05T14:27:17.379483+00:00
4 bedroom Apartment,24950000,"60 Curzon, Mayfair, London, W1J 8PG",4,4,Apartment,https://www.rightmove.co.uk/properties/169008476,2026-03-05T14:27:17.379488+00:00
4 bedroom Apartment,24950000,"60 Curzon, Mayfair, London, W1J 8PG",4,4,Apartment,https://www.rightmove.co.uk/properties/169008473,2026-03-05T14:27:17.379491+00:00
9 bedroom Detached,24500000,"Hamilton Terrace, St John's Wood, London, NW8",9,8,Detached,https://www.rightmove.co.uk/properties/166870283,2026-03-05T14:27:17.379494+00:00
12 bedroom House,24000000,"Queen's Gate, South Kensington, London, SW7",12,12,House,https://www.rightmove.co.uk/properties/172438859,2026-03-05T14:27:17.379497+00:00
5 bedroom Apartment,24000000,"The Clock Tower Apartment, The Whiteley, Queensway, London, W2",5,4,Apartment,https://www.rightmove.co.uk/properties/164628374,2026-03-05T14:27:17.379501+00:00
5 bedroom Apartment,24000000,"'The Astor', Millbank SW1",5,6,Apartment,https://www.rightmove.co.uk/properties/157474112,2026-03-05T14:27:17.379504+00:00
